Total_Error_mm,Percent_Error,Estimate_Type,Fishery
6.30,3.68,Algorithm,Finfish
21.90,12.81,Algorithm,Finfish
22.00,12.87,Algorithm,Finfish
18.20,10.64,Algorithm,Finfish
4.40,2.57,Algorithm,Finfish
22.00,10.84,Algorithm,Finfish
37.30,18.37,Algorithm,Finfish
22.00,10.84,Algorithm,Finfish
37.30,18.37,Algorithm,Finfish
36.70,18.08,Algorithm,Finfish
38.50,18.97,Algorithm,Finfish
26.80,13.27,Algorithm,Finfish
13.40,6.63,Algorithm,Finfish
36.70,18.17,Algorithm,Finfish
90.60,44.85,Algorithm,Finfish
17.80,8.81,Algorithm,Finfish
38.80,14.21,Algorithm,Finfish
82.80,30.33,Algorithm,Finfish
42.00,15.38,Algorithm,Finfish
34.70,12.71,Algorithm,Finfish
60.80,22.27,Algorithm,Finfish
36.90,12.47,Algorithm,Finfish
33.70,11.39,Algorithm,Finfish
60.60,20.47,Algorithm,Finfish
62.50,21.11,Algorithm,Finfish
-59.80,-20.20,Algorithm,Finfish
-82.10,-27.74,Algorithm,Finfish
77.30,25.18,Algorithm,Finfish
26.30,8.57,Algorithm,Finfish
3.50,1.14,Algorithm,Finfish
40.40,13.16,Algorithm,Finfish
17.10,5.57,Algorithm,Finfish
31.90,10.39,Algorithm,Finfish
-7.40,-2.41,Algorithm,Finfish
62.20,20.26,Algorithm,Finfish
4.00,1.30,Algorithm,Finfish
33.00,10.75,Algorithm,Finfish
33.40,10.88,Algorithm,Finfish
52.90,17.23,Algorithm,Finfish
32.50,20.19,Algorithm,Finfish
99.50,61.80,Algorithm,Finfish
4.90,3.04,Algorithm,Finfish
25.10,15.59,Algorithm,Finfish
22.80,14.16,Algorithm,Finfish
60.50,37.58,Algorithm,Finfish
17.50,10.87,Algorithm,Finfish
8.70,5.40,Algorithm,Finfish
31.50,19.57,Algorithm,Finfish
-33.20,-9.49,Algorithm,Finfish
46.40,13.26,Algorithm,Finfish
3.20,0.91,Algorithm,Finfish
-191.20,-54.63,Algorithm,Finfish
-233.00,-66.57,Algorithm,Finfish
8.50,2.43,Algorithm,Finfish
11.70,4.78,Algorithm,Finfish
43.20,17.63,Algorithm,Finfish
17.40,7.10,Algorithm,Finfish
56.80,23.18,Algorithm,Finfish
59.10,24.12,Algorithm,Finfish
-102.30,-41.76,Algorithm,Finfish
-57.70,-23.55,Algorithm,Finfish
23.90,9.76,Algorithm,Finfish
20.00,8.16,Algorithm,Finfish
3.90,1.59,Algorithm,Finfish
25.60,11.48,Algorithm,Finfish
39.50,17.71,Algorithm,Finfish
25.10,11.26,Algorithm,Finfish
53.80,24.13,Algorithm,Finfish
4.30,1.93,Algorithm,Finfish
65.10,29.19,Algorithm,Finfish
36.50,16.37,Algorithm,Finfish
37.50,16.82,Algorithm,Finfish
21.50,9.64,Algorithm,Finfish
-99.00,-38.82,Algorithm,Finfish
36.30,14.24,Algorithm,Finfish
32.90,12.90,Algorithm,Finfish
3.70,1.45,Algorithm,Finfish
11.40,4.47,Algorithm,Finfish
40.90,16.04,Algorithm,Finfish
64.70,25.37,Algorithm,Finfish
30.20,11.84,Algorithm,Finfish
42.10,16.51,Algorithm,Finfish
24.90,9.76,Algorithm,Finfish
-5.80,-1.61,Algorithm,Finfish
-170.40,-47.33,Algorithm,Finfish
-180.80,-50.22,Algorithm,Finfish
45.60,12.67,Algorithm,Finfish
