Total_Error_mm,Percent_Error,Estimate_Type,Fishery
8.40,7.18,Adjusted,Lobster
9.10,7.78,Adjusted,Lobster
14.20,12.14,Adjusted,Lobster
-7.90,-6.81,Adjusted,Lobster
-4.40,-3.79,Adjusted,Lobster
-4.40,-3.79,Adjusted,Lobster
-4.20,-3.62,Adjusted,Lobster
-3.40,-2.93,Adjusted,Lobster
-2.70,-2.33,Adjusted,Lobster
-0.80,-0.69,Adjusted,Lobster
0.40,0.34,Adjusted,Lobster
1.70,1.47,Adjusted,Lobster
3.60,3.10,Adjusted,Lobster
4.60,3.97,Adjusted,Lobster
8.80,7.59,Adjusted,Lobster
11.20,9.66,Adjusted,Lobster
12.00,10.34,Adjusted,Lobster
12.30,10.60,Adjusted,Lobster
-13.00,-11.30,Adjusted,Lobster
-8.80,-7.65,Adjusted,Lobster
-5.80,-5.04,Adjusted,Lobster
-2.40,-2.09,Adjusted,Lobster
-1.70,-1.48,Adjusted,Lobster
-0.10,-0.09,Adjusted,Lobster
6.00,5.22,Adjusted,Lobster
7.80,6.78,Adjusted,Lobster
8.10,7.04,Adjusted,Lobster
10.20,8.87,Adjusted,Lobster
-10.20,-8.95,Adjusted,Lobster
-9.20,-8.07,Adjusted,Lobster
-8.90,-7.81,Adjusted,Lobster
-6.20,-5.44,Adjusted,Lobster
7.00,6.14,Adjusted,Lobster
7.70,6.75,Adjusted,Lobster
13.70,12.02,Adjusted,Lobster
21.70,19.04,Adjusted,Lobster
-6.70,-5.90,Adjusted,Lobster
-9.00,-7.96,Adjusted,Lobster
-8.70,-7.70,Adjusted,Lobster
-6.00,-5.31,Adjusted,Lobster
-4.60,-4.07,Adjusted,Lobster
-0.70,-0.62,Adjusted,Lobster
0.20,0.18,Adjusted,Lobster
3.20,2.83,Adjusted,Lobster
4.50,3.98,Adjusted,Lobster
8.70,7.70,Adjusted,Lobster
-23.10,-20.63,Adjusted,Lobster
-13.30,-11.88,Adjusted,Lobster
-12.00,-10.71,Adjusted,Lobster
-1.40,-1.25,Adjusted,Lobster
0.80,0.71,Adjusted,Lobster
1.10,0.98,Adjusted,Lobster
1.80,1.61,Adjusted,Lobster
3.20,2.86,Adjusted,Lobster
3.80,3.39,Adjusted,Lobster
3.80,3.39,Adjusted,Lobster
4.10,3.66,Adjusted,Lobster
4.40,3.93,Adjusted,Lobster
4.70,4.20,Adjusted,Lobster
5.70,5.09,Adjusted,Lobster
7.00,6.25,Adjusted,Lobster
11.00,9.82,Adjusted,Lobster
19.30,17.23,Adjusted,Lobster
19.70,17.59,Adjusted,Lobster
21.30,19.02,Adjusted,Lobster
27.00,24.11,Adjusted,Lobster
-18.90,-17.03,Adjusted,Lobster
-11.50,-10.36,Adjusted,Lobster
-8.20,-7.39,Adjusted,Lobster
-4.00,-3.60,Adjusted,Lobster
-3.70,-3.33,Adjusted,Lobster
-0.90,-0.81,Adjusted,Lobster
1.70,1.53,Adjusted,Lobster
4.40,3.96,Adjusted,Lobster
6.50,5.86,Adjusted,Lobster
10.40,9.37,Adjusted,Lobster
11.20,10.09,Adjusted,Lobster
11.30,10.18,Adjusted,Lobster
14.30,12.88,Adjusted,Lobster
-21.70,-19.73,Adjusted,Lobster
-12.10,-11.00,Adjusted,Lobster
-10.20,-9.27,Adjusted,Lobster
-9.30,-8.45,Adjusted,Lobster
-9.00,-8.18,Adjusted,Lobster
-7.40,-6.73,Adjusted,Lobster
-7.00,-6.36,Adjusted,Lobster
-6.40,-5.82,Adjusted,Lobster
-5.80,-5.27,Adjusted,Lobster
-4.80,-4.36,Adjusted,Lobster
-1.40,-1.27,Adjusted,Lobster
-0.60,-0.55,Adjusted,Lobster
3.70,3.36,Adjusted,Lobster
4.40,4.00,Adjusted,Lobster
8.20,7.45,Adjusted,Lobster
9.90,9.00,Adjusted,Lobster
12.90,11.73,Adjusted,Lobster
-11.00,-10.09,Adjusted,Lobster
-7.80,-7.16,Adjusted,Lobster
-6.30,-5.78,Adjusted,Lobster
-5.20,-4.77,Adjusted,Lobster
-3.80,-3.49,Adjusted,Lobster
-3.10,-2.84,Adjusted,Lobster
-1.50,-1.38,Adjusted,Lobster
-0.60,-0.55,Adjusted,Lobster
2.60,2.39,Adjusted,Lobster
3.30,3.03,Adjusted,Lobster
6.40,5.87,Adjusted,Lobster
7.20,6.61,Adjusted,Lobster
7.90,7.25,Adjusted,Lobster
10.60,9.72,Adjusted,Lobster
15.90,14.59,Adjusted,Lobster
-14.40,-13.33,Adjusted,Lobster
-11.40,-10.56,Adjusted,Lobster
-10.80,-10.00,Adjusted,Lobster
-7.20,-6.67,Adjusted,Lobster
-4.50,-4.17,Adjusted,Lobster
-3.90,-3.61,Adjusted,Lobster
-3.80,-3.52,Adjusted,Lobster
-3.70,-3.43,Adjusted,Lobster
-2.70,-2.50,Adjusted,Lobster
-2.40,-2.22,Adjusted,Lobster
5.60,5.19,Adjusted,Lobster
6.00,5.56,Adjusted,Lobster
-8.50,-7.91,Adjusted,Lobster
-18.30,-17.10,Adjusted,Lobster
-1.10,-1.03,Adjusted,Lobster
-0.10,-0.09,Adjusted,Lobster
0.60,0.56,Adjusted,Lobster
2.20,2.06,Adjusted,Lobster
2.70,2.52,Adjusted,Lobster
4.60,4.30,Adjusted,Lobster
5.70,5.33,Adjusted,Lobster
15.30,14.30,Adjusted,Lobster
18.40,17.20,Adjusted,Lobster
-13.30,-12.55,Adjusted,Lobster
0.20,0.19,Adjusted,Lobster
4.60,4.34,Adjusted,Lobster
5.60,5.28,Adjusted,Lobster
12.40,11.70,Adjusted,Lobster
-7.30,-6.95,Adjusted,Lobster
-3.10,-2.95,Adjusted,Lobster
-0.90,-0.86,Adjusted,Lobster
-0.10,-0.10,Adjusted,Lobster
0.80,0.76,Adjusted,Lobster
2.60,2.48,Adjusted,Lobster
3.10,2.95,Adjusted,Lobster
7.10,6.76,Adjusted,Lobster
9.90,9.43,Adjusted,Lobster
19.80,18.86,Adjusted,Lobster
-12.00,-11.54,Adjusted,Lobster
-8.50,-8.17,Adjusted,Lobster
-6.30,-6.06,Adjusted,Lobster
-5.40,-5.19,Adjusted,Lobster
-5.10,-4.90,Adjusted,Lobster
0.70,0.67,Adjusted,Lobster
1.90,1.83,Adjusted,Lobster
3.30,3.17,Adjusted,Lobster
4.60,4.42,Adjusted,Lobster
6.10,5.87,Adjusted,Lobster
10.30,9.90,Adjusted,Lobster
13.20,12.69,Adjusted,Lobster
14.00,13.46,Adjusted,Lobster
-9.90,-9.61,Adjusted,Lobster
-8.70,-8.45,Adjusted,Lobster
-5.60,-5.44,Adjusted,Lobster
-3.10,-3.01,Adjusted,Lobster
-2.80,-2.72,Adjusted,Lobster
-2.10,-2.04,Adjusted,Lobster
-1.50,-1.46,Adjusted,Lobster
-1.40,-1.36,Adjusted,Lobster
2.30,2.23,Adjusted,Lobster
2.70,2.62,Adjusted,Lobster
3.30,3.20,Adjusted,Lobster
5.70,5.53,Adjusted,Lobster
6.10,5.92,Adjusted,Lobster
6.30,6.12,Adjusted,Lobster
6.70,6.50,Adjusted,Lobster
7.80,7.57,Adjusted,Lobster
7.90,7.67,Adjusted,Lobster
11.30,10.97,Adjusted,Lobster
15.10,14.66,Adjusted,Lobster
21.80,21.17,Adjusted,Lobster
-11.70,-11.47,Adjusted,Lobster
-9.60,-9.41,Adjusted,Lobster
-8.40,-8.24,Adjusted,Lobster
-6.90,-6.76,Adjusted,Lobster
-4.50,-4.41,Adjusted,Lobster
-2.10,-2.06,Adjusted,Lobster
0.20,0.20,Adjusted,Lobster
1.00,0.98,Adjusted,Lobster
1.40,1.37,Adjusted,Lobster
1.80,1.76,Adjusted,Lobster
2.10,2.06,Adjusted,Lobster
6.10,5.98,Adjusted,Lobster
6.80,6.67,Adjusted,Lobster
7.20,7.06,Adjusted,Lobster
10.10,9.90,Adjusted,Lobster
11.10,10.88,Adjusted,Lobster
12.10,11.86,Adjusted,Lobster
19.60,19.22,Adjusted,Lobster
-15.40,-15.25,Adjusted,Lobster
-8.30,-8.22,Adjusted,Lobster
-7.00,-6.93,Adjusted,Lobster
-3.80,-3.76,Adjusted,Lobster
-3.70,-3.66,Adjusted,Lobster
-0.80,-0.79,Adjusted,Lobster
2.10,2.08,Adjusted,Lobster
4.30,4.26,Adjusted,Lobster
5.10,5.05,Adjusted,Lobster
6.00,5.94,Adjusted,Lobster
12.10,11.98,Adjusted,Lobster
12.90,12.77,Adjusted,Lobster
14.60,14.46,Adjusted,Lobster
20.10,19.90,Adjusted,Lobster
22.00,21.78,Adjusted,Lobster
-15.60,-15.60,Adjusted,Lobster
-9.20,-9.20,Adjusted,Lobster
-7.20,-7.20,Adjusted,Lobster
-6.90,-6.90,Adjusted,Lobster
-6.60,-6.60,Adjusted,Lobster
-3.30,-3.30,Adjusted,Lobster
-2.60,-2.60,Adjusted,Lobster
-2.10,-2.10,Adjusted,Lobster
-0.50,-0.50,Adjusted,Lobster
0.00,0.00,Adjusted,Lobster
1.80,1.80,Adjusted,Lobster
2.40,2.40,Adjusted,Lobster
2.60,2.60,Adjusted,Lobster
3.10,3.10,Adjusted,Lobster
4.90,4.90,Adjusted,Lobster
5.30,5.30,Adjusted,Lobster
5.60,5.60,Adjusted,Lobster
7.30,7.30,Adjusted,Lobster
7.40,7.40,Adjusted,Lobster
9.10,9.10,Adjusted,Lobster
13.10,13.10,Adjusted,Lobster
-16.90,-17.07,Adjusted,Lobster
-9.80,-9.90,Adjusted,Lobster
-8.90,-8.99,Adjusted,Lobster
-7.30,-7.37,Adjusted,Lobster
-4.10,-4.14,Adjusted,Lobster
-0.70,-0.71,Adjusted,Lobster
-0.70,-0.71,Adjusted,Lobster
0.90,0.91,Adjusted,Lobster
3.30,3.33,Adjusted,Lobster
5.90,5.96,Adjusted,Lobster
7.20,7.27,Adjusted,Lobster
11.30,11.41,Adjusted,Lobster
13.10,13.23,Adjusted,Lobster
24.30,24.55,Adjusted,Lobster
-7.50,-7.65,Adjusted,Lobster
-6.60,-6.73,Adjusted,Lobster
-4.20,-4.29,Adjusted,Lobster
-3.20,-3.27,Adjusted,Lobster
-2.30,-2.35,Adjusted,Lobster
-2.10,-2.14,Adjusted,Lobster
1.40,1.43,Adjusted,Lobster
2.60,2.65,Adjusted,Lobster
2.80,2.86,Adjusted,Lobster
6.90,7.04,Adjusted,Lobster
7.50,7.65,Adjusted,Lobster
9.40,9.59,Adjusted,Lobster
10.60,10.82,Adjusted,Lobster
14.80,15.10,Adjusted,Lobster
16.60,16.94,Adjusted,Lobster
-8.70,-8.97,Adjusted,Lobster
-6.50,-6.70,Adjusted,Lobster
-6.30,-6.49,Adjusted,Lobster
-3.90,-4.02,Adjusted,Lobster
-1.10,-1.13,Adjusted,Lobster
1.00,1.03,Adjusted,Lobster
1.20,1.24,Adjusted,Lobster
1.90,1.96,Adjusted,Lobster
2.40,2.47,Adjusted,Lobster
3.60,3.71,Adjusted,Lobster
3.80,3.92,Adjusted,Lobster
3.90,4.02,Adjusted,Lobster
5.00,5.15,Adjusted,Lobster
9.50,9.79,Adjusted,Lobster
9.90,10.21,Adjusted,Lobster
-19.50,-20.31,Adjusted,Lobster
-10.20,-10.63,Adjusted,Lobster
-8.90,-9.27,Adjusted,Lobster
-6.10,-6.35,Adjusted,Lobster
-5.90,-6.15,Adjusted,Lobster
-5.30,-5.52,Adjusted,Lobster
-5.10,-5.31,Adjusted,Lobster
-3.10,-3.23,Adjusted,Lobster
-2.20,-2.29,Adjusted,Lobster
-1.50,-1.56,Adjusted,Lobster
-1.10,-1.15,Adjusted,Lobster
-1.00,-1.04,Adjusted,Lobster
-0.60,-0.63,Adjusted,Lobster
-0.30,-0.31,Adjusted,Lobster
0.20,0.21,Adjusted,Lobster
1.70,1.77,Adjusted,Lobster
2.10,2.19,Adjusted,Lobster
2.70,2.81,Adjusted,Lobster
3.90,4.06,Adjusted,Lobster
9.00,9.38,Adjusted,Lobster
10.30,10.73,Adjusted,Lobster
11.90,12.40,Adjusted,Lobster
-13.40,-14.11,Adjusted,Lobster
-9.50,-10.00,Adjusted,Lobster
-8.00,-8.42,Adjusted,Lobster
-6.70,-7.05,Adjusted,Lobster
-5.60,-5.89,Adjusted,Lobster
-5.00,-5.26,Adjusted,Lobster
-4.50,-4.74,Adjusted,Lobster
-4.20,-4.42,Adjusted,Lobster
-3.60,-3.79,Adjusted,Lobster
-3.50,-3.68,Adjusted,Lobster
-3.10,-3.26,Adjusted,Lobster
-2.20,-2.32,Adjusted,Lobster
-0.40,-0.42,Adjusted,Lobster
0.30,0.32,Adjusted,Lobster
1.60,1.68,Adjusted,Lobster
1.80,1.89,Adjusted,Lobster
6.50,6.84,Adjusted,Lobster
8.80,9.26,Adjusted,Lobster
9.70,10.21,Adjusted,Lobster
10.30,10.84,Adjusted,Lobster
12.90,13.58,Adjusted,Lobster
14.50,15.26,Adjusted,Lobster
-7.70,-8.19,Adjusted,Lobster
-6.20,-6.60,Adjusted,Lobster
-6.10,-6.49,Adjusted,Lobster
-4.30,-4.57,Adjusted,Lobster
-2.20,-2.34,Adjusted,Lobster
-2.10,-2.23,Adjusted,Lobster
-1.30,-1.38,Adjusted,Lobster
-1.20,-1.28,Adjusted,Lobster
-0.20,-0.21,Adjusted,Lobster
1.60,1.70,Adjusted,Lobster
1.80,1.91,Adjusted,Lobster
2.40,2.55,Adjusted,Lobster
3.10,3.30,Adjusted,Lobster
3.80,4.04,Adjusted,Lobster
3.80,4.04,Adjusted,Lobster
4.70,5.00,Adjusted,Lobster
5.60,5.96,Adjusted,Lobster
10.30,10.96,Adjusted,Lobster
11.30,12.02,Adjusted,Lobster
-0.40,-0.43,Adjusted,Lobster
-22.80,-24.52,Adjusted,Lobster
-10.70,-11.51,Adjusted,Lobster
-8.80,-9.46,Adjusted,Lobster
-7.30,-7.85,Adjusted,Lobster
-6.20,-6.67,Adjusted,Lobster
-5.40,-5.81,Adjusted,Lobster
-5.20,-5.59,Adjusted,Lobster
-4.50,-4.84,Adjusted,Lobster
-4.00,-4.30,Adjusted,Lobster
-3.70,-3.98,Adjusted,Lobster
-3.60,-3.87,Adjusted,Lobster
-3.60,-3.87,Adjusted,Lobster
-3.10,-3.33,Adjusted,Lobster
-2.60,-2.80,Adjusted,Lobster
-2.50,-2.69,Adjusted,Lobster
-1.80,-1.94,Adjusted,Lobster
-0.80,-0.86,Adjusted,Lobster
0.80,0.86,Adjusted,Lobster
0.90,0.97,Adjusted,Lobster
2.80,3.01,Adjusted,Lobster
3.10,3.33,Adjusted,Lobster
5.00,5.38,Adjusted,Lobster
10.00,10.75,Adjusted,Lobster
10.70,11.51,Adjusted,Lobster
12.70,13.66,Adjusted,Lobster
16.70,17.96,Adjusted,Lobster
19.00,20.43,Adjusted,Lobster
19.40,20.86,Adjusted,Lobster
-6.90,-7.50,Adjusted,Lobster
-4.60,-5.00,Adjusted,Lobster
-4.60,-5.00,Adjusted,Lobster
-3.50,-3.80,Adjusted,Lobster
-3.50,-3.80,Adjusted,Lobster
-2.40,-2.61,Adjusted,Lobster
-2.10,-2.28,Adjusted,Lobster
-1.70,-1.85,Adjusted,Lobster
-0.30,-0.33,Adjusted,Lobster
0.50,0.54,Adjusted,Lobster
0.70,0.76,Adjusted,Lobster
1.00,1.09,Adjusted,Lobster
1.30,1.41,Adjusted,Lobster
4.70,5.11,Adjusted,Lobster
5.80,6.30,Adjusted,Lobster
6.00,6.52,Adjusted,Lobster
6.70,7.28,Adjusted,Lobster
-9.30,-10.22,Adjusted,Lobster
-7.00,-7.69,Adjusted,Lobster
-6.00,-6.59,Adjusted,Lobster
-5.70,-6.26,Adjusted,Lobster
-5.30,-5.82,Adjusted,Lobster
-4.40,-4.84,Adjusted,Lobster
-3.70,-4.07,Adjusted,Lobster
-3.60,-3.96,Adjusted,Lobster
-3.40,-3.74,Adjusted,Lobster
-2.90,-3.19,Adjusted,Lobster
-1.90,-2.09,Adjusted,Lobster
-1.90,-2.09,Adjusted,Lobster
-1.60,-1.76,Adjusted,Lobster
-0.60,-0.66,Adjusted,Lobster
-0.50,-0.55,Adjusted,Lobster
1.60,1.76,Adjusted,Lobster
2.80,3.08,Adjusted,Lobster
3.60,3.96,Adjusted,Lobster
4.00,4.40,Adjusted,Lobster
4.90,5.38,Adjusted,Lobster
8.30,9.12,Adjusted,Lobster
8.70,9.56,Adjusted,Lobster
12.70,13.96,Adjusted,Lobster
-12.90,-14.33,Adjusted,Lobster
-11.00,-12.22,Adjusted,Lobster
-10.50,-11.67,Adjusted,Lobster
-8.40,-9.33,Adjusted,Lobster
-7.90,-8.78,Adjusted,Lobster
-7.70,-8.56,Adjusted,Lobster
-4.90,-5.44,Adjusted,Lobster
-4.70,-5.22,Adjusted,Lobster
-3.10,-3.44,Adjusted,Lobster
-2.60,-2.89,Adjusted,Lobster
-1.40,-1.56,Adjusted,Lobster
-1.40,-1.56,Adjusted,Lobster
-0.20,-0.22,Adjusted,Lobster
4.00,4.44,Adjusted,Lobster
4.80,5.33,Adjusted,Lobster
5.20,5.78,Adjusted,Lobster
6.00,6.67,Adjusted,Lobster
6.40,7.11,Adjusted,Lobster
6.80,7.56,Adjusted,Lobster
14.40,16.00,Adjusted,Lobster
16.20,18.00,Adjusted,Lobster
-8.90,-10.00,Adjusted,Lobster
-6.50,-7.30,Adjusted,Lobster
-6.10,-6.85,Adjusted,Lobster
-5.70,-6.40,Adjusted,Lobster
-3.60,-4.04,Adjusted,Lobster
-0.80,-0.90,Adjusted,Lobster
-0.20,-0.22,Adjusted,Lobster
0.10,0.11,Adjusted,Lobster
0.80,0.90,Adjusted,Lobster
1.10,1.24,Adjusted,Lobster
1.40,1.57,Adjusted,Lobster
2.40,2.70,Adjusted,Lobster
2.50,2.81,Adjusted,Lobster
3.60,4.04,Adjusted,Lobster
3.80,4.27,Adjusted,Lobster
4.20,4.72,Adjusted,Lobster
4.80,5.39,Adjusted,Lobster
4.90,5.51,Adjusted,Lobster
8.20,9.21,Adjusted,Lobster
8.80,9.89,Adjusted,Lobster
11.60,13.03,Adjusted,Lobster
-7.20,-8.18,Adjusted,Lobster
-6.80,-7.73,Adjusted,Lobster
-5.30,-6.02,Adjusted,Lobster
-4.50,-5.11,Adjusted,Lobster
-4.00,-4.55,Adjusted,Lobster
-3.80,-4.32,Adjusted,Lobster
-2.80,-3.18,Adjusted,Lobster
-2.60,-2.95,Adjusted,Lobster
-2.50,-2.84,Adjusted,Lobster
-1.80,-2.05,Adjusted,Lobster
-1.60,-1.82,Adjusted,Lobster
-1.00,-1.14,Adjusted,Lobster
-0.50,-0.57,Adjusted,Lobster
-0.30,-0.34,Adjusted,Lobster
0.90,1.02,Adjusted,Lobster
1.10,1.25,Adjusted,Lobster
1.10,1.25,Adjusted,Lobster
2.20,2.50,Adjusted,Lobster
2.50,2.84,Adjusted,Lobster
2.70,3.07,Adjusted,Lobster
3.50,3.98,Adjusted,Lobster
4.00,4.55,Adjusted,Lobster
6.70,7.61,Adjusted,Lobster
8.20,9.32,Adjusted,Lobster
9.90,11.25,Adjusted,Lobster
19.90,22.61,Adjusted,Lobster
22.50,25.57,Adjusted,Lobster
-11.90,-13.68,Adjusted,Lobster
-11.80,-13.56,Adjusted,Lobster
-11.50,-13.22,Adjusted,Lobster
-11.10,-12.76,Adjusted,Lobster
-8.50,-9.77,Adjusted,Lobster
-7.90,-9.08,Adjusted,Lobster
-7.80,-8.97,Adjusted,Lobster
-6.90,-7.93,Adjusted,Lobster
-6.00,-6.90,Adjusted,Lobster
-5.70,-6.55,Adjusted,Lobster
-5.30,-6.09,Adjusted,Lobster
-5.30,-6.09,Adjusted,Lobster
-5.20,-5.98,Adjusted,Lobster
-4.40,-5.06,Adjusted,Lobster
-4.10,-4.71,Adjusted,Lobster
-3.60,-4.14,Adjusted,Lobster
-3.60,-4.14,Adjusted,Lobster
-3.50,-4.02,Adjusted,Lobster
-1.70,-1.95,Adjusted,Lobster
-1.10,-1.26,Adjusted,Lobster
-0.90,-1.03,Adjusted,Lobster
-0.80,-0.92,Adjusted,Lobster
0.20,0.23,Adjusted,Lobster
1.00,1.15,Adjusted,Lobster
2.10,2.41,Adjusted,Lobster
2.50,2.87,Adjusted,Lobster
3.60,4.14,Adjusted,Lobster
4.00,4.60,Adjusted,Lobster
6.80,7.82,Adjusted,Lobster
8.60,9.89,Adjusted,Lobster
9.00,10.34,Adjusted,Lobster
9.20,10.57,Adjusted,Lobster
9.70,11.15,Adjusted,Lobster
10.20,11.72,Adjusted,Lobster
10.80,12.41,Adjusted,Lobster
14.80,17.01,Adjusted,Lobster
-8.60,-10.00,Adjusted,Lobster
-7.90,-9.19,Adjusted,Lobster
-6.80,-7.91,Adjusted,Lobster
-6.70,-7.79,Adjusted,Lobster
-5.80,-6.74,Adjusted,Lobster
-5.60,-6.51,Adjusted,Lobster
-5.10,-5.93,Adjusted,Lobster
-5.00,-5.81,Adjusted,Lobster
-4.90,-5.70,Adjusted,Lobster
-4.10,-4.77,Adjusted,Lobster
-3.80,-4.42,Adjusted,Lobster
-3.00,-3.49,Adjusted,Lobster
-2.70,-3.14,Adjusted,Lobster
-2.70,-3.14,Adjusted,Lobster
-1.80,-2.09,Adjusted,Lobster
-1.70,-1.98,Adjusted,Lobster
-1.10,-1.28,Adjusted,Lobster
-0.20,-0.23,Adjusted,Lobster
0.80,0.93,Adjusted,Lobster
1.20,1.40,Adjusted,Lobster
1.60,1.86,Adjusted,Lobster
3.90,4.53,Adjusted,Lobster
4.30,5.00,Adjusted,Lobster
5.70,6.63,Adjusted,Lobster
5.90,6.86,Adjusted,Lobster
6.00,6.98,Adjusted,Lobster
6.20,7.21,Adjusted,Lobster
8.80,10.23,Adjusted,Lobster
11.10,12.91,Adjusted,Lobster
11.80,13.72,Adjusted,Lobster
12.60,14.65,Adjusted,Lobster
-8.30,-9.76,Adjusted,Lobster
-6.90,-8.12,Adjusted,Lobster
-6.60,-7.76,Adjusted,Lobster
-4.70,-5.53,Adjusted,Lobster
-4.00,-4.71,Adjusted,Lobster
-3.90,-4.59,Adjusted,Lobster
-3.80,-4.47,Adjusted,Lobster
-2.20,-2.59,Adjusted,Lobster
-1.10,-1.29,Adjusted,Lobster
-1.00,-1.18,Adjusted,Lobster
-0.80,-0.94,Adjusted,Lobster
0.20,0.24,Adjusted,Lobster
1.10,1.29,Adjusted,Lobster
1.40,1.65,Adjusted,Lobster
2.40,2.82,Adjusted,Lobster
2.60,3.06,Adjusted,Lobster
2.80,3.29,Adjusted,Lobster
4.00,4.71,Adjusted,Lobster
4.50,5.29,Adjusted,Lobster
5.10,6.00,Adjusted,Lobster
5.40,6.35,Adjusted,Lobster
5.40,6.35,Adjusted,Lobster
6.50,7.65,Adjusted,Lobster
6.60,7.76,Adjusted,Lobster
7.60,8.94,Adjusted,Lobster
9.40,11.06,Adjusted,Lobster
10.50,12.35,Adjusted,Lobster
10.90,12.82,Adjusted,Lobster
12.20,14.35,Adjusted,Lobster
12.40,14.59,Adjusted,Lobster
27.50,32.35,Adjusted,Lobster
-9.80,-11.67,Adjusted,Lobster
-6.00,-7.14,Adjusted,Lobster
-4.60,-5.48,Adjusted,Lobster
-2.20,-2.62,Adjusted,Lobster
-1.70,-2.02,Adjusted,Lobster
-1.70,-2.02,Adjusted,Lobster
-1.60,-1.90,Adjusted,Lobster
-0.90,-1.07,Adjusted,Lobster
-0.10,-0.12,Adjusted,Lobster
0.60,0.71,Adjusted,Lobster
1.10,1.31,Adjusted,Lobster
1.70,2.02,Adjusted,Lobster
1.80,2.14,Adjusted,Lobster
1.80,2.14,Adjusted,Lobster
2.50,2.98,Adjusted,Lobster
2.70,3.21,Adjusted,Lobster
2.80,3.33,Adjusted,Lobster
2.90,3.45,Adjusted,Lobster
3.20,3.81,Adjusted,Lobster
6.40,7.62,Adjusted,Lobster
7.10,8.45,Adjusted,Lobster
8.80,10.48,Adjusted,Lobster
8.90,10.60,Adjusted,Lobster
10.10,12.02,Adjusted,Lobster
11.20,13.33,Adjusted,Lobster
11.50,13.69,Adjusted,Lobster
14.20,16.90,Adjusted,Lobster
65.20,77.62,Adjusted,Lobster
-3.70,-4.46,Adjusted,Lobster
-2.80,-3.37,Adjusted,Lobster
-2.20,-2.65,Adjusted,Lobster
-1.50,-1.81,Adjusted,Lobster
-1.20,-1.45,Adjusted,Lobster
-0.50,-0.60,Adjusted,Lobster
0.20,0.24,Adjusted,Lobster
0.50,0.60,Adjusted,Lobster
1.50,1.81,Adjusted,Lobster
1.60,1.93,Adjusted,Lobster
2.00,2.41,Adjusted,Lobster
2.10,2.53,Adjusted,Lobster
4.40,5.30,Adjusted,Lobster
4.50,5.42,Adjusted,Lobster
4.80,5.78,Adjusted,Lobster
6.80,8.19,Adjusted,Lobster
7.10,8.55,Adjusted,Lobster
12.10,14.58,Adjusted,Lobster
15.00,18.07,Adjusted,Lobster
25.60,30.84,Adjusted,Lobster
-1.10,-1.34,Adjusted,Lobster
0.50,0.61,Adjusted,Lobster
3.30,4.02,Adjusted,Lobster
3.90,4.76,Adjusted,Lobster
3.90,4.76,Adjusted,Lobster
-6.72,-3.08,Algorithm,Abalone
16.40,7.51,Algorithm,Abalone
-3.92,-1.80,Algorithm,Abalone
20.46,9.37,Algorithm,Abalone
-2.91,-1.33,Algorithm,Abalone
-13.83,-6.34,Algorithm,Abalone
-37.71,-17.27,Algorithm,Abalone
28.59,13.10,Algorithm,Abalone
5.98,2.74,Algorithm,Abalone
51.70,23.68,Algorithm,Abalone
13.60,6.23,Algorithm,Abalone
-5.70,-2.61,Algorithm,Abalone
50.69,23.22,Algorithm,Abalone
39.22,18.41,Algorithm,Abalone
19.66,9.23,Algorithm,Abalone
49.13,23.06,Algorithm,Abalone
17.38,8.16,Algorithm,Abalone
-1.93,-0.90,Algorithm,Abalone
-12.85,-6.03,Algorithm,Abalone
107.29,50.37,Algorithm,Abalone
9.76,4.58,Algorithm,Abalone
93.07,43.69,Algorithm,Abalone
12.04,5.65,Algorithm,Abalone
47.86,22.47,Algorithm,Abalone
64.37,30.22,Algorithm,Abalone
8.49,3.98,Algorithm,Abalone
6.21,2.68,Algorithm,Abalone
-6.74,-2.91,Algorithm,Abalone
0.62,0.27,Algorithm,Abalone
6.72,2.90,Algorithm,Abalone
12.81,5.53,Algorithm,Abalone
12.05,5.20,Algorithm,Abalone
16.62,7.17,Algorithm,Abalone
19.67,8.49,Algorithm,Abalone
20.43,8.82,Algorithm,Abalone
167.50,72.26,Algorithm,Abalone
-16.40,-7.07,Algorithm,Abalone
18.15,7.83,Algorithm,Abalone
6.46,2.79,Algorithm,Abalone
49.00,23.90,Algorithm,Abalone
122.15,59.59,Algorithm,Abalone
46.21,22.54,Algorithm,Abalone
-8.91,-4.35,Algorithm,Abalone
29.95,14.61,Algorithm,Abalone
102.09,49.80,Algorithm,Abalone
27.16,13.25,Algorithm,Abalone
4.80,2.34,Algorithm,Abalone
4.55,2.22,Algorithm,Abalone
71.35,34.81,Algorithm,Abalone
10.65,5.19,Algorithm,Abalone
6.07,2.96,Algorithm,Abalone
3.03,1.48,Algorithm,Abalone
47.08,20.69,Algorithm,Abalone
12.28,5.40,Algorithm,Abalone
9.49,4.17,Algorithm,Abalone
41.24,18.13,Algorithm,Abalone
14.57,6.40,Algorithm,Abalone
23.96,10.53,Algorithm,Abalone
26.25,11.54,Algorithm,Abalone
2.12,0.93,Algorithm,Abalone
56.73,24.94,Algorithm,Abalone
9.23,4.06,Algorithm,Abalone
35.39,15.56,Algorithm,Abalone
37.17,16.34,Algorithm,Abalone
11.26,4.95,Algorithm,Abalone
-0.92,-0.41,Algorithm,Abalone
21.43,9.40,Algorithm,Abalone
-113.70,-49.87,Algorithm,Abalone
2.89,1.27,Algorithm,Abalone
76.29,33.46,Algorithm,Abalone
